,merchant_abn,tags1,tags2,tags3,sum(dollar_value),count(1),avg(merchant_fraud)
0,10404542215,"[antique shops - sales, repairs, and restoration services]",a,6.93,22773.975280323484,1,
1,47047735645,"[antique shops - sales, repairs, and restoration services]",c,1.54,40896.25782166824,1,
2,39150153670,"[antique shops - sales, repairs, and restoration services]",a,6.99,38089.93927161727,1,
3,62688594508,"[jewelry, watch, clock, and  silverware shops]",d,0.88,21112.567917387372,1,
4,93267734067,"[jewelry, watch, clock, and silverware shops]",c,2.57,16394.519414851562,1,
5,22853038342,"[antique shops - sales, repairs, and restoration services]",a,5.56,22622.694039782844,2,
6,89133730546,[art dealers and galleries],b,3.4,12431.401109198721,2,
7,46537010521,"[jewelry, watch, clock, and silverware shops]",c,2.18,28091.45809069533,2,
8,86791380020,"[jewelry, watch, clock, and silverware shops]",b,3.45,18209.30234706193,2,
9,67264251405,[art dealers and galleries],a,6.4,103753.27512775529,2,18.21089142894488
10,29068447069,"[antique shops - sales, repairs, and restoration services]",b,3.28,73901.57508882221,2,
11,18261886835,"[antique shops - sales, repairs, and restoration services]",a,6.25,21763.2202815697,2,
12,55403018592,"[antique shops - sales, repairs, and restoration services]",b,4.84,18205.113865150826,2,
13,64094501963,"[antique shops - sales, repairs, and restoration services]",c,3.0,53473.34651274054,2,
14,28311306642,"[antique shops - sales, repairs, and restoration services]",b,4.93,43994.45435435048,2,
15,99801770627,"[antique shops - sales, repairs, and restoration services]",b,4.97,15227.29404765288,2,
16,42461534060,"[antique shops - sales, repairs, and restoration services]",b,3.98,50232.55631137998,2,
17,67213521157,"[jewelry, watch, clock, and silverware shops]",b,4.57,32091.70901076623,2,
18,24212300522,"[jewelry, watch, clock, and silverware shops]",b,4.04,22499.043624753536,2,
19,52524795452,"[antique shops - sales, repairs, and restoration services]",a,5.89,28539.314364132486,3,
20,86201937910,"[jewelry, watch, clock, and silverware shops]",c,2.29,27883.709714980778,3,
21,93915598279,"[antique shops - sales, repairs, and restoration services]",c,1.47,44948.11742990351,3,
22,50532670634,"[antique shops - sales, repairs, and restoration services]",c,2.48,82574.96778234844,3,
23,62708477486,"[antique shops - sales, repairs, and restoration services]",b,4.51,43920.423207243795,3,
24,37482629458,"[antique shops - sales, repairs, and restoration services]",c,1.63,17162.885876243854,3,
25,93263170091,"[jewelry, watch, clock, and silverware shops]",b,5.0,16494.263952229827,3,
26,24174334793,"[antique shops - sales, repairs, and restoration services]",c,2.2,41857.243021718794,3,
27,29279482521,"[antique shops - sales, repairs, and restoration services]",c,2.13,32196.154702587395,3,
28,14626521979,[art dealers and galleries],c,2.81,12758.952529663467,3,
29,22503967537,"[antique shops -  sales, repairs, and restoration services]",d,1.21,56070.03516210121,3,
30,86621434137,"[jewelry, watch, clock, and silverware shops]",b,3.82,43127.52739805535,3,
31,34455283435,"[jewelry, watch, clock, and silverware shops]",c,2.41,40588.521997829805,3,
32,56766066037,[telecom],b,4.14,13570.10814312902,3,
33,20233857661,"[jewelry, watch, clock, and silverware shops]",b,3.2,49301.02594737546,3,
34,15293888435,"[antique shops - sales, repairs, and restoration services]",b,3.16,25084.711469766127,3,
35,51425051982,"[antique shops - sales, repairs, and restoration services]",a,5.71,90653.35941392471,3,
36,29623808496,"[jewelry, watch, clock, and silverware shops]",c,2.22,15212.24839550707,3,
37,68264859271,"[antique shops -  sales, repairs, and restoration services]",b,3.61,26047.219545579275,3,
38,78577106740,"[antique shops - sales, repairs, and restoration services]",a,5.75,52345.29796705547,3,
39,80426072728,"[antique shops - sales, repairs, and restoration services]",a,6.65,76907.95233447361,4,
40,99776743787,[art dealers and galleries],b,3.61,16396.549498644184,4,
41,35235320738,"[antique shops - sales, repairs, and restoration services]",b,4.12,76710.87604085909,4,
42,68591542501,"[antique shops - sales, repairs, and restoration services]",a,6.86,68259.18740236733,4,
43,98082781436,"[antique shops - sales, repairs, and restoration services]",c,2.82,39050.83234566408,4,
44,55555661470,"[jewelry, watch, clock, and silverware shops]",c,1.83,55684.64930373359,4,
45,28275269638,"[hobby, toy and game shops]",a,6.68,11053.63644154743,4,
46,71475747855,[telecom],c,1.95,18561.53787918909,4,
47,89109402284,"[antique shops - sales, repairs, and restoration services]",b,3.87,115322.18027506534,4,29.07408314204997
48,76866488151,"[antique shops - sales, repairs, and restoration services]",b,4.08,41285.98485860537,4,
49,89618228232,[telecom],a,6.24,16829.99589182924,4,
50,81548651453,"[jewelry, watch, clock, and silverware shops]",b,3.8,34956.63905570509,4,
