,merchant_abn,sum(dollar_value),count(1)
0,10404542215,22773.975280323484,1
1,47047735645,40896.25782166824,1
2,39150153670,38089.93927161727,1
3,62688594508,21112.567917387372,1
4,93267734067,16394.519414851562,1
5,22853038342,22622.694039782844,2
6,55403018592,18205.113865150826,2
7,46537010521,28091.45809069533,2
8,89133730546,12431.401109198721,2
9,64094501963,53473.34651274054,2
10,28311306642,43994.45435435048,2
11,86791380020,18209.30234706193,2
12,42461534060,50232.55631137998,2
13,99801770627,15227.29404765288,2
14,67264251405,103753.27512775529,2
15,67213521157,32091.70901076623,2
16,24212300522,22499.043624753536,2
17,29068447069,73901.57508882221,2
18,18261886835,21763.2202815697,2
19,22503967537,56070.03516210121,3
20,24174334793,41857.243021718794,3
21,86201937910,27883.709714980778,3
22,14626521979,12758.952529663467,3
23,86621434137,43127.52739805535,3
24,52524795452,28539.314364132486,3
25,93263170091,16494.263952229827,3
26,29279482521,32196.154702587395,3
27,20233857661,49301.02594737546,3
28,56766066037,13570.10814312902,3
29,93915598279,44948.11742990351,3
30,34455283435,40588.521997829805,3
31,50532670634,82574.96778234844,3
32,51425051982,90653.35941392471,3
33,29623808496,15212.24839550707,3
34,62708477486,43920.423207243795,3
35,15293888435,25084.711469766127,3
36,68264859271,26047.219545579275,3
37,78577106740,52345.29796705547,3
38,37482629458,17162.885876243854,3
39,81548651453,34956.63905570509,4
40,89109402284,115322.18027506534,4
41,89618228232,16829.99589182924,4
42,80426072728,76907.95233447361,4
43,15710208349,19352.789585324797,4
44,76866488151,41285.98485860537,4
45,35235320738,76710.87604085909,4
46,10441711491,23836.884845394132,4
47,68591542501,68259.18740236733,4
48,28275269638,11053.63644154743,4
49,24526454463,28200.736626444163,4
50,55555661470,55684.64930373359,4
51,14616123867,42914.26293017897,4
52,34205660775,43076.802115432496,4
53,64143552561,83088.46589524273,4
54,99776743787,16396.549498644184,4
55,98082781436,39050.83234566408,4
56,51087215585,30932.93478303057,4
57,71475747855,18561.53787918909,4
58,65959377833,28552.006859257788,4
59,70814127470,22253.82171336291,5
60,64648788229,11750.375493442512,5
61,14004773634,55592.748410034954,5
62,10881038707,58464.247652428036,5
63,20884516643,15265.892773815413,5
64,20284137308,22147.95386764842,5
65,69853421807,14062.687323902042,5
66,10165489824,56180.473857030534,5
67,51267358936,21928.648402662402,5
68,47797405944,24913.348206901755,5
69,79081516258,58451.527688379145,5
70,47441593515,57483.81358685925,5
71,16104218122,30094.961817115705,5
72,33068332703,49615.81266788422,5
73,19340071232,44807.84293116076,5
74,22883189698,15026.782648994347,6
75,65415777658,17741.055929606046,6
76,12983555508,55507.03591141439,6
77,84787662573,106196.39329427553,6
78,96141360246,27321.56782089064,6
79,38447958250,18176.548832914697,6
80,15457638036,22072.059622512737,6
81,94009500943,50464.79837341352,6
82,54277261175,123943.55809368225,6
83,27518736748,14374.487654248456,6
84,80762852492,25967.076659649058,6
85,88745863985,17486.210540008455,6
86,68480514246,19184.93384263457,6
87,72300821269,30825.919472405756,6
88,16002602393,28503.456111420466,6
89,24102148742,15774.991876966382,6
90,72064300998,38108.42688121437,6
91,29027010572,114499.53909462306,6
92,65892608066,34111.1886108973,6
93,34775154874,14263.192222357631,6
94,61939167097,32503.91837694119,6
95,96190048310,25631.07159647364,6
96,16156289887,35959.41951550554,6
97,22019281430,25088.86629580552,6
98,30769373086,24403.47886402098,7
99,82882460979,29568.79305424682,7
100,50940521426,16923.751424360467,7
101,52266154043,10766.028035085252,7
102,29166700531,11888.695901432831,7
103,16528286991,12183.956661048824,7
104,93113531213,16036.211735450177,7
105,37815517789,87986.16408635554,7
106,37534260149,11831.218301092196,7
107,17228439250,24824.86998669259,7
108,78908309708,12716.747375956269,7
109,31400548982,42756.9303616213,7
110,88999491954,25468.849393037428,7
111,48549026640,32496.79503795138,7
112,21350600012,50757.97315005993,7
113,17507773571,10622.915707456552,7
114,28385291716,167543.93568301908,7
115,93942213428,22270.343733351252,8
116,99785979138,11441.900770342234,8
117,62069676741,23989.54550034576,8
118,38523766800,11802.52256147714,8
119,21319642626,181291.05661939923,8
120,58680132589,28317.959324818235,8
121,59079680636,16581.109438806474,8
122,10739268011,33985.69250425183,8
123,21755625204,23937.04167426032,8
124,12182018430,16562.718402967228,8
125,16361981729,32668.47687901253,8
126,25781502446,37568.7608750461,8
127,10346855916,17902.686559108326,9
128,21384345425,33602.77825593681,9
129,63975991689,31297.211617956258,9
130,29234580033,121444.5383559399,9
131,94269319521,15501.820665723093,9
132,39469369640,39666.106383424114,9
133,58899084497,24419.970360241834,9
134,17978936678,31572.767493157095,9
135,37706925794,20415.70887497075,9
136,30280912400,70205.69961618457,9
137,13467303030,14412.40113816371,9
138,53829845678,34670.016032399144,9
139,60641607697,34740.74284464047,9
140,39580029434,15211.428068008889,9
141,95135981273,121271.42937613104,9
142,31416331470,46390.561025993054,9
143,94110063346,11970.246880413251,9
144,62346852889,19490.826016328654,10
145,27207000299,11017.784769901531,10
146,76094539803,19617.12179246403,10
147,65175701530,14501.516223556366,10
148,82736268897,50445.88227372826,10
149,22395185606,33329.83508720854,10
150,37351880405,30397.878694402712,10
151,49784932478,38859.36138331127,10
152,51294980477,33380.40425775436,10
153,52448445000,44583.253406101234,10
154,16377211887,102409.0875784132,10
155,32350997564,13182.168179720782,10
156,51390118767,31971.281733112322,10
157,13747603419,18866.60066236182,10
158,65168284301,104574.59701972382,10
159,46054596841,25524.329524095498,10
160,37670671283,31808.893406191735,10
161,11411018019,22582.128048570583,10
162,69431337574,39398.57591237952,10
163,53877856360,153294.69527948092,10
164,28836033916,21943.787611578588,11
165,93723130289,135033.67710202024,11
166,47864961615,15702.556585101202,11
167,21205587568,31881.88725306752,11
168,78315017938,19775.981592177497,11
169,95594775419,47508.37786611588,11
170,43437492698,29047.644875106147,11
171,39700611505,125749.08155146835,11
172,26788127465,18323.011228936975,11
173,85117752663,115710.52189754645,11
174,75289356942,23956.775092112468,11
175,69133284840,39093.10743371509,11
176,31153557593,30691.881662899334,11
177,81986777523,49334.22214253283,11
178,88848010071,40557.25921755747,11
179,39646859475,22346.590967605458,11
180,67223193770,17194.259210564745,11
181,70555899232,33706.99821709362,11
182,85273542431,41671.52689482175,11
183,51527394775,165155.65522437906,11
184,12240378188,97942.64474882733,11
185,19401969640,17790.79058719947,11
186,74337286955,30810.26226224397,12
187,72082377970,24486.574551793376,12
188,67279397175,12150.195476279247,12
189,88114023637,39526.80729065164,12
190,46429297007,18364.31508670507,12
191,69184324876,197037.7436907413,12
192,85444000471,45198.351689791096,12
193,47119663770,22788.736847426717,12
194,31552582037,37132.98654257428,12
195,15010840269,19536.453860797297,12
196,73909892719,29042.963279236326,12
197,49514806178,148138.8522480066,12
198,61569154734,11606.651955722558,12
199,11800043583,119868.37793482984,12
200,93720983561,23962.32531646275,12
201,28537603098,35604.31650384416,12
202,41686800806,24833.187832769217,12
203,53918538787,340288.94632531604,12
204,80347921120,40075.56836872763,12
205,30780133873,48375.27407780587,12
206,96806981644,47395.56639046408,13
207,27529271582,15478.496152960222,13
208,17175760321,17046.030665293885,13
209,56597561444,25654.246487732722,13
210,41877503091,20406.625020044856,13
211,99807059634,44361.54618661137,13
212,66748498849,25351.129442052432,13
213,58382415159,18376.185439528643,13
214,42454170286,51285.57280036181,13
215,34339412732,15313.243950785563,13
216,48699038894,37683.2550920962,13
217,26793253394,203500.05004612025,13
218,42392117775,29273.113722957194,13
219,40084144447,38756.51302758973,13
220,81790520013,46732.7283242359,13
221,91062920626,29330.931396537464,13
222,38918664617,264024.99804109713,13
223,17701272704,19737.96130077998,14
224,25117003509,23026.08630595945,14
225,37481834976,100503.18129174697,14
226,37935728745,153026.91719841718,14
227,78040474274,25970.395317752773,14
228,20836895545,32125.94812021996,14
229,76117653301,43731.8665415826,14
230,74247444320,20445.17486520044,14
231,76419655212,19847.48963006723,14
232,98850646791,37497.38803516333,14
233,62940816804,32260.175614304833,14
234,72164128552,38451.83515300011,14
235,87824427219,15491.207983517059,14
236,40996724992,47142.84458494185,14
237,82329510503,44674.97590979062,14
238,38049816588,101294.58766263226,14
239,32021853619,64130.03293717937,14
240,28034382339,11178.43704466018,14
241,20803442676,38105.49859266189,14
242,99420575685,50659.64809779566,14
243,41445137000,41037.32205335038,15
244,36595568885,21677.39957528926,15
245,93740493847,41881.32089815858,15
246,15489539819,18794.64251782444,15
247,33150692829,18305.630536066667,15
248,75987403052,24245.137753665786,15
249,86451920285,52195.8578490236,15
250,41027080823,32245.87161943399,15
251,95824231566,18548.608838051507,16
252,89249209432,23368.19921822768,16
253,82465857700,43163.207894398554,16
254,23506252960,15069.674123675413,16
255,74959624448,192429.07355510507,16
256,55092047467,149890.3335354566,16
257,74116888698,37372.53131431522,16
258,81692875319,41595.76840937229,16
259,79070032105,214884.99064758926,16
260,18142272571,30502.670584987703,16
261,11975295389,30979.73159119563,16
262,61941120453,24826.997866756577,16
263,90494976499,34939.42325761823,16
264,42142667769,53350.009704274475,16
265,17610103622,35840.73341077986,16
266,84895141974,19902.8279084192,16
267,45426079849,29411.050955727456,16
268,20781273791,54470.367837048674,16
269,93282747446,35518.13369654016,16
270,82451618238,18596.913375623357,16
271,47480497674,16697.643900753726,16
272,61639583117,71981.83337030267,17
273,43828324372,50972.16846567535,17
274,68731179079,30985.65171083828,17
275,74837094867,346585.3059132021,17
276,75265429612,160641.20155391184,17
277,97206517936,40271.40788221355,17
278,47103021057,35187.09583890546,17
279,83173175334,232633.21401834383,17
280,84478592825,23882.688051668953,17
281,92596271102,27144.06843444944,17
282,54790190524,53709.19888797627,17
283,50585758076,18055.794611488254,17
284,68275485458,16111.602831039021,17
285,95037235405,49091.78313159787,17
286,76618399784,57292.35869025075,18
287,68323652165,115948.7639860224,18
288,57798993346,18307.430355882367,18
289,46391946761,15448.985846782794,18
290,36105169298,20553.079047732957,18
291,45875784130,51144.646655987955,18
292,62596784370,21306.82136895598,18
293,40361137142,22732.584175128126,18
294,35615649088,19816.124060833095,18
295,28880110118,13629.973974798646,18
296,48934946153,42279.0923175776,18
297,38249941422,15135.835220132736,18
298,82931448033,68513.18693268072,18
299,73648278886,26527.71420834694,18
300,41704070214,48447.153999792536,19
301,51163531045,11722.699761326532,19
302,32821775372,22539.710475813397,19
303,20352820919,24456.8629777756,19
304,17649195875,46337.18855234056,19
305,68535898735,64732.17458071201,19
306,59477140425,10064.933918748826,19
307,24674067743,182235.9469484792,19
308,19458945909,26745.49538968561,19
309,29922107583,18735.7285990326,19
310,93110588804,230753.25769785093,19
311,66741987958,69393.70452996764,19
312,92510629620,29592.079815028395,19
313,91201528612,17570.076478038372,19
314,94785155422,35466.01656521616,19
315,22267067774,41633.01865868202,19
316,88644745666,17831.1919272398,20
317,43454001249,48459.150905014416,20
318,41001282470,324613.6400696409,20
319,65462135385,35276.28498395495,20
320,72760991600,195435.3174342014,20
321,30900210196,76182.17274447675,20
322,44344566262,40816.02438834398,20
323,18814588565,51800.3633727477,20
324,20017721725,33325.227421086194,20
325,45237488374,42077.78574449912,20
326,39961396807,23308.239717684133,20
327,30440941247,14169.489345513266,20
328,92293286189,46399.13769091817,20
329,91218779711,50211.452303825565,20
330,97444574441,28651.66750479267,21
331,25166307673,48922.50840803376,21
332,68548907085,14123.41134002277,21
333,37358528402,71218.90047151803,21
334,56738316313,255746.8261528061,21
335,55702861356,11976.861437551794,21
336,21158149109,244602.0101074239,21
337,85626017907,208489.51073065237,21
338,24120162361,12507.497571380045,21
339,58786009971,32735.120916899683,22
340,61813633430,12298.967973251174,22
341,29681526553,10321.148053029814,22
342,85684792409,11908.868374930584,22
343,56018978883,29855.360939252107,22
344,68656010159,19494.751141041506,22
345,20073297612,14549.550315875586,22
346,94446707800,41462.1033780657,22
347,33654290585,24881.4721703946,22
348,89575340835,17014.439131724135,22
349,60646270419,50509.84359270385,23
350,66690609706,14873.672489078008,23
351,93090969200,25677.141132809225,23
352,29505435279,285328.29693539266,23
353,70306626982,16336.927470363444,23
354,52034783403,55635.735266781565,23
355,80837517456,120973.3015972035,23
356,33754604709,10365.554347418021,23
357,42657888176,25253.76273568177,23
358,90909339288,13736.85163143509,23
359,64821359458,44974.97896140641,23
360,86441371046,12223.192099157593,24
361,46087176984,36165.01911156773,24
362,69030600619,18598.35565851766,24
363,13067850740,38172.46304655008,24
364,95613237079,43514.43983027761,24
365,20415536115,14231.374414120774,24
366,81271508783,47444.19833645433,24
367,96730987906,539175.6525383178,24
368,69893361647,259028.2883274082,24
369,21073645356,166266.52316486163,24
370,98861981558,33077.789355177505,25
371,76818455401,33518.945804879135,25
372,26025787253,32866.125352031246,25
373,33925457242,13210.200104991225,25
374,18600250054,42631.11286629563,25
375,25737175575,46049.956950840475,25
376,84448198573,71536.62153477171,25
377,60778762062,23911.50136887297,25
378,58869593769,49424.582297424706,25
379,35194643826,23963.228342644423,25
380,15527324674,36507.25536650082,25
381,95005191321,49589.95952608752,25
382,17799557745,28906.13262490887,25
383,34703763702,26936.942979946652,26
384,10385011947,16714.578215266047,26
385,92693781303,105006.15658989552,26
386,82063890289,50136.97622482254,26
387,94601812317,15690.44995274008,26
388,37238742140,20038.163200107116,26
389,52379134298,13508.37675874522,26
390,64523396248,24516.029730968494,26
391,59739116052,37453.03342332941,26
392,53600852724,62472.56231435418,26
393,23388327799,48012.51589433251,26
394,60318067173,13184.737560891585,26
395,56806164521,217615.22961341144,26
396,68233865253,243869.63833838608,26
397,45783462228,21757.128985443305,26
398,44539609516,27362.37077717555,26
399,93378757859,183667.7999110465,26
400,99990536339,42110.77331257687,27
401,26710073457,27420.093347264592,27
402,15704713883,11827.629727569145,27
403,55902748589,42735.056289306565,27
404,56939946451,17630.364159019875,27
405,52956509597,41627.46855940559,27
406,80731100978,234599.8113768035,27
407,35079621278,65028.53792473574,27
408,94951665897,269986.20253564254,28
409,87233538213,27845.14873045758,28
410,17266923036,49274.86653949966,28
411,66698569367,14991.563057847145,28
412,96644709080,31962.578515967703,28
413,21986309398,329576.3884850191,28
414,63948574402,26295.69975404101,28
415,91582338269,18195.67397665816,28
416,93932766844,69078.72495112938,28
417,66532942314,47160.83940903523,28
418,14315147591,60928.553662037826,28
419,78177627659,104377.88368857853,28
420,35979239098,42788.53614762998,28
421,77898879994,100030.24945114368,28
422,83808082504,35895.173487078915,29
423,13803154777,33455.44389301578,29
424,29917527785,11101.136445624445,29
425,51266227991,21800.878171790693,29
426,35267193658,45803.10843905463,29
427,21166782413,37990.1789038517,29
428,30137717102,417266.62702225917,29
429,52969453577,30997.07215898442,29
430,39906633476,37322.31848167085,29
431,97638827169,72070.9067840963,29
432,87759704856,25372.17174768074,29
433,98003940525,13301.063738168277,29
434,41670880601,37762.85202278473,29
435,56479646937,19456.18938788814,29
436,21616154893,26312.408208225006,29
437,62807084929,13017.385675303234,29
438,70118030493,33624.53323824495,29
439,62379298278,10400.665376571229,29
440,46666227102,13562.902975603403,30
441,43168490529,13206.333585474935,30
442,62249204345,15019.482908665492,30
443,77747303845,49450.20093417705,30
444,97748234104,11650.12306189228,30
445,25876985396,15127.57956479286,30
446,40836710601,19726.065686069123,30
447,66236596240,36057.09713189199,30
448,35787272183,51517.91595319714,30
449,49867386620,22052.0696085396,30
450,56023220219,21868.362675331024,30
451,20877828351,13310.325228978256,31
452,77593244679,23895.592139974662,31
453,56554875815,444099.0658377565,31
454,15514494276,10772.946290076852,31
455,57782107253,32227.289135304847,31
456,43078277216,11132.43753305177,31
457,89023030428,50422.59653093478,31
458,68096660401,64320.91570889881,31
459,36502394145,166337.5315880151,31
460,72692207411,47581.703578360015,31
461,87898093521,18368.838829689186,31
462,80067991455,92107.19868081612,31
463,86137100428,13255.664382502346,32
464,35381098677,24586.391676641644,32
465,83841202959,11519.687659911611,32
466,89389708676,24255.954805483147,32
467,33765505000,26813.70985356827,32
468,77334889816,323773.3117304379,32
469,95856918319,29452.45054816935,32
470,46668174318,50485.69536069657,32
471,24314208971,10401.614641683178,32
472,50921929340,36445.01242720366,32
473,79143633916,196717.64423442574,32
474,26763947687,98998.56272524816,32
475,76541333930,37411.04264299178,32
476,54860127682,678210.6052355081,32
477,93936767851,33161.92885226412,32
478,41378282924,42149.20714772184,32
479,67842910518,106200.13669078582,32
480,96336573256,24483.230535202998,33
481,40751557554,29889.109050549952,33
482,91426391836,49417.598377584494,33
483,33581972361,45801.76908244786,33
484,43308864284,43121.96008941372,33
485,55622580330,12313.488406755763,33
486,55306852930,19263.0018702439,33
487,29276411530,25902.685414796935,33
488,90938232295,33143.670796726175,33
489,98020727651,80624.34918029077,33
490,95149235949,32803.29101457508,34
491,28555022437,32297.86884186911,34
492,64272336774,23399.949109065587,34
493,94848797110,23226.500675986958,34
494,66650274915,12035.985412443551,34
495,91880575299,706610.9343860475,34
496,62924351636,33103.8325092513,34
497,42420316138,57391.58074217368,35
498,49063322245,439823.29205772385,35
499,55997183965,23962.793726569438,35
500,41594644510,19647.412844895174,35
501,99358609752,260492.04271052193,35
502,31770481079,24139.776212529538,35
503,48883076820,11603.995023681226,35
504,59547553329,14651.19674660897,35
505,44486718758,18104.989820344246,35
506,12103450178,42506.75071511129,36
507,35754571357,50688.75402760135,36
508,25019506172,24871.859282615747,36
509,43426057710,37689.27618165342,36
510,92426644718,38762.16617215384,36
511,97590358496,523149.0120019272,36
512,76241460849,66929.59602412544,36
513,33967237843,18105.712000590163,37
514,61766463985,14296.8640816349,37
515,61243536058,21300.700559881545,37
516,86201172910,26718.289062719352,37
517,99473039626,182345.8667480533,37
518,44771894352,136697.51321618687,37
519,38864597115,13298.410970385901,37
520,64464998822,11524.997885122433,37
521,66482985683,152370.89758547646,37
522,88935026131,56428.02265920667,37
523,12161076724,57039.70955560009,37
524,34861537920,14872.498378432432,37
525,81615080499,348112.77236696094,37
526,31861513116,19385.016751390067,37
527,81621391082,26438.093993146864,38
