,tags1,count(1)
0,"[equipment,  tool, furniture, and appliance rent al and leasing]",7
1,"[equipment, tool, furniture, and appliance  rent al and leasing]",9
2,"[jewelry, watch,  clock, and silverware shops]",21
3,[artist supply and craft  shops],26
4,"[furniture, home furnishings and equipment shops, and manufacturers, except  appliances]",37
5,[motor vehicle  supplies and new parts],51
6,"[jewelry, watch, clock, and  silverware shops]",52
7,"[lawn and garden supply  outlets, including nurseries]",52
8,"[music shops  - musical instruments, pianos, and sheet music]",58
9,[motor  vehicle supplies and new parts],71
10,"[opticians,  optical goods, and eyeglasses]",74
11,"[music shops - musical  instruments, pianos, and sheet music]",92
12,"[stationery, office supplies and printing and  writing paper]",92
13,"[computers, computer peripheral equipment, and  software]",102
14,"[lawn and  garden supply  outlets, including nurseries]",109
15,"[florists supplies,  nursery stock, and flowers]",119
16,"[equipment, tool, furniture, and appliance rent al  and leasing]",126
17,"[computer programming , data processing,  and integrated systems design services]",138
18,"[antique shops -  sales, repairs, and restoration services]",146
19,"[music shops - musical instruments, pianos, and sheet  music]",154
20,[art dealers and  galleries],155
21,"[opticians, optical goods,  and eyeglasses]",164
22,"[furniture,  home furnishings and equipment shops, and manufacturers, except appliances]",169
23,"[watch, clock, and jewelry  repair shops]",185
24,"[furniture, home furnishings and equipment shops,  and manufacturers, except appliances]",196
25,"[hobby,  toy  and game shops]",198
26,"[computer programming ,  data processing, and integrated systems design services]",215
27,[bicycle  shops - sales and service],241
28,"[gift, card, novelty, and  souvenir shops]",244
29,"[gift, card,  novelty, and souvenir shops]",295
30,"[lawn and garden supply outlets, including  nurseries]",319
31,"[equipment, tool, furniture, and appliance rent  al and leasing]",320
32,"[stationery, office  supplies and printing and writing paper]",324
33,"[opticians, optical goods, and  eyeglasses]",392
34,"[lawn and garden  supply outlets, including nurseries]",454
35,"[music shops - musical instruments,  pianos, and sheet music]",492
36,"[cable, satellite, and other pay  television and radio services]",493
37,"[stationery, office supplies and printing  and writing paper]",542
38,"[furniture, home furnishings and  equipment shops, and manufacturers, except appliances]",551
39,"[furniture, home furnishings and equipment shops, and  manufacturers, except appliances]",766
40,"[hobby, toy and  game shops]",806
41,"[hobby, toy and game  shops]",826
42,"[computers, computer peripheral  equipment, and software]",827
43,"[equipment, tool, furniture, and appliance rent al and  leasing]",834
44,"[watch, clock,  and jewelry repair shops]",859
45,"[cable,  satellite, and other pay television and radio services]",971
