,type,tags,merchant_abn,count(1)
0,b,"opticians, optical goods, eyeglasses",99938978285,14536
1,c,"digital goods, books, movies, music",71041015148,11268
2,b,"health, beauty spas",43321695302,4569
3,a,"tent, awning",70610974780,13362
4,c,shoe,42807026185,2621
5,b,"digital goods, books, movies, music",87667432396,12897
6,c,"stationery, office supplies, printing, writing paper",32709545238,10701
7,a,"books, periodicals, newspapers",89430765327,762
8,b,"health, beauty spas",36607451384,4831
9,a,"computers, computer peripheral equipment, software",69233153226,228
10,b,"lawn, garden supply outlets, including nurseries",11895748930,647
11,c,"computer programming, data processing, integrated systems design",48723861274,1235
12,a,"computers, computer peripheral equipment, software",73527950332,1572
13,a,"computers, computer peripheral equipment, software",32894483068,1891
14,a,"florists supplies, nursery stock, flowers",97264771172,2201
15,a,"opticians, optical goods, eyeglasses",89048727914,1722
16,d,"music, musical instruments, pianos, sheet music",81986204097,156
17,c,"computers, computer peripheral equipment, software",91154394323,264
18,b,"computer programming, data processing, integrated systems design",75547072158,73
19,b,"florists supplies, nursery stock, flowers",85715076054,138
20,b,telecom,36961482719,124
21,d,"antique, repairs, restoration",95135981273,9
22,c,telecom,82465857700,14
23,a,"hobby, toy, game",94110063346,8
24,a,"digital goods, books, movies, music",20527255332,5748
25,b,"cable, satellite, other pay television, radio",20885454195,7765
26,b,"gift, card, novelty, souvenir",32656335530,12645
27,a,"artist supply, craft",58727332026,1313
28,c,"florists supplies, nursery stock, flowers",67874735704,1761
29,b,"digital goods, books, movies, music",58688453868,2639
30,a,"furniture, home furnishings, equipment, manufacturers",15612785317,607
31,a,"stationery, office supplies, printing, writing paper",57699602880,2817
32,a,"computers, computer peripheral equipment, software",10342410215,711
33,b,"computers, computer peripheral equipment, software",77292581216,257
34,b,"hobby, toy, game",69655310165,109
35,b,"books, periodicals, newspapers",22606727520,439
36,a,"computer programming, data processing, integrated systems design",54907027470,187
37,a,"hobby, toy, game",12208064492,168
38,c,"bicycle,",45426079849,14
39,b,"bicycle,",74845501802,61
40,a,"stationery, office supplies, printing, writing paper",36662964956,36
41,b,"books, periodicals, newspapers",29917527785,25
42,b,"cable, satellite, other pay television, radio",80109801322,15459
43,b,"artist supply, craft",15157368385,110
44,b,"hobby, toy, game",80499846916,406
45,a,"cable, satellite, other pay television, radio",67868675953,474
46,a,"art dealers, galleries",41305045812,419
47,a,"bicycle,",33412969398,297
48,c,"art dealers, galleries",74116888698,13
49,b,"watch, clock, jewelry repair",78004123157,272
50,c,"digital goods, books, movies, music",65600957125,160
51,a,shoe,71982729179,313
52,b,"hobby, toy, game",49647278647,59
53,b,"artist supply, craft",77702973864,42
54,b,"artist supply, craft",16019856141,30
55,a,"health, beauty spas",78526643558,31
56,b,"florists supplies, nursery stock, flowers",85276983280,4144
57,b,"motor vehicle supplies, new parts",11841065357,5257
58,c,"equipment, tool, furniture, appliance rental, leasing",62422038748,153
59,b,"digital goods, books, movies, music",38591231051,6155
60,b,"computers, computer peripheral equipment, software",96442520325,6688
61,d,"florists supplies, nursery stock, flowers",30571576650,134
62,a,"health, beauty spas",27099208477,985
63,c,shoe,15070005651,119
64,b,"music, musical instruments, pianos, sheet music",69786030824,411
65,b,"computers, computer peripheral equipment, software",10255988167,689
66,b,"motor vehicle supplies, new parts",42483854662,1636
67,c,"equipment, tool, furniture, appliance rental, leasing",44440245427,225
68,a,"lawn, garden supply outlets, including nurseries",67288548470,715
69,a,"hobby, toy, game",13823979247,224
70,a,"gift, card, novelty, souvenir",10901349044,1058
71,b,"art dealers, galleries",17476208631,66
72,a,"watch, clock, jewelry repair",52375327397,70
73,c,"motor vehicle supplies, new parts",72762528640,48
